,date,HRV (SDNN),Is at Work (binary),Is Above Mean Value,Hour of Day,Day of Week,Is Morning
0,2018-01-16 09:50:18,32.397,1,0,9,2,1
1,2018-01-16 09:55:05,45.1124,1,1,9,2,1
2,2018-01-16 14:52:15,27.3781,1,0,14,2,0
3,2018-01-16 21:24:11,41.4216,0,1,21,2,0
4,2018-01-18 09:08:50,41.0526,1,0,9,4,1
5,2018-01-18 09:16:42,43.2457,1,1,9,4,1
6,2018-01-18 20:59:56,28.3643,0,0,20,4,0
7,2018-01-19 08:26:32,53.743,0,1,8,5,1
8,2018-01-20 11:41:57,38.5957,0,0,11,6,1
9,2018-01-20 14:11:47,43.1893,0,1,14,6,0
10,2018-01-20 16:59:57,31.4732,0,0,16,6,0
11,2018-01-22 17:15:03,28.6433,0,0,17,1,0
12,2018-01-23 10:18:33,26.1331,1,0,10,2,1
13,2018-01-23 14:02:58,41.9345,1,1,14,2,0
14,2018-01-23 17:13:35,15.9217,0,0,17,2,0
15,2018-01-24 08:59:55,56.0,0,1,8,3,1
16,2018-01-24 14:46:32,33.0738,1,0,14,3,0
17,2018-01-25 09:08:11,55.3122,1,1,9,4,1
18,2018-01-25 19:00:49,48.6171,0,1,19,4,0
19,2018-01-25 21:21:07,28.2555,0,0,21,4,0
20,2018-01-26 00:59:58,28.5318,0,0,0,5,0
21,2018-01-26 09:10:47,49.3191,1,1,9,5,1
22,2018-01-26 13:48:39,29.5,1,0,13,5,0
23,2018-01-27 01:32:03,29.9698,0,0,1,6,0
24,2018-01-27 12:17:33,59.5179,0,1,12,6,0
25,2018-01-27 16:59:58,29.7783,0,0,16,6,0
26,2018-01-27 21:20:27,27.0324,0,0,21,6,0
27,2018-01-28 00:59:56,31.0015,0,0,0,7,0
28,2018-01-29 06:14:38,60.3883,0,1,6,1,1
29,2018-01-29 17:01:29,55.2308,0,1,17,1,0
30,2018-01-29 22:23:10,35.7775,0,0,22,1,0
31,2018-01-30 09:23:21,48.9113,1,1,9,2,1
32,2018-01-30 14:23:16,42.4257,1,1,14,2,0
33,2018-01-30 17:54:43,37.6688,0,0,17,2,0
34,2018-01-31 09:22:56,37.4658,1,0,9,3,1
35,2018-01-31 17:27:29,64.6766,0,1,17,3,0
36,2018-02-01 08:36:38,107.476,0,1,8,4,1
37,2018-02-01 09:11:20,28.4022,1,0,9,4,1
