sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e680a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:54:34 +0200,2019-03-10 17:52:46 +0200,2019-03-10 17:53:31 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68140>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:55:05 +0200,2019-03-10 17:54:04 +0200,2019-03-10 17:54:29 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e681e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:55:33 +0200,2019-03-10 17:54:31 +0200,2019-03-10 17:54:59 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68280>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:56:07 +0200,2019-03-10 17:55:01 +0200,2019-03-10 17:55:29 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68320>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:57:39 +0200,2019-03-10 17:55:32 +0200,2019-03-10 17:55:59 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e683c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:58:10 +0200,2019-03-10 17:57:08 +0200,2019-03-10 17:57:36 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68460>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:58:41 +0200,2019-03-10 17:57:40 +0200,2019-03-10 17:58:04 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68550>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:59:14 +0200,2019-03-10 17:58:05 +0200,2019-03-10 17:58:36 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e685f0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 17:59:45 +0200,2019-03-10 17:58:36 +0200,2019-03-10 17:59:07 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68690>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:00:16 +0200,2019-03-10 17:59:11 +0200,2019-03-10 17:59:38 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68730>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:00:47 +0200,2019-03-10 17:59:40 +0200,2019-03-10 18:00:08 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68780>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:01:17 +0200,2019-03-10 18:00:08 +0200,2019-03-10 18:00:38 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68820>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:01:48 +0200,2019-03-10 18:00:42 +0200,2019-03-10 18:01:13 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e688c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:02:21 +0200,2019-03-10 18:01:19 +0200,2019-03-10 18:01:43 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68960>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:02:52 +0200,2019-03-10 18:01:45 +0200,2019-03-10 18:02:15 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68a00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:03:21 +0200,2019-03-10 18:02:18 +0200,2019-03-10 18:02:47 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68aa0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:03:51 +0200,2019-03-10 18:02:48 +0200,2019-03-10 18:03:16 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68b40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:04:27 +0200,2019-03-10 18:03:18 +0200,2019-03-10 18:03:46 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68be0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:07:25 +0200,2019-03-10 18:03:46 +0200,2019-03-10 18:04:15 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68c80>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:07:55 +0200,2019-03-10 18:06:55 +0200,2019-03-10 18:07:19 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68d20>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:08:24 +0200,2019-03-10 18:07:20 +0200,2019-03-10 18:07:49 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68dc0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:08:54 +0200,2019-03-10 18:07:51 +0200,2019-03-10 18:08:19 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68e60>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:09:25 +0200,2019-03-10 18:08:21 +0200,2019-03-10 18:08:48 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68f00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:09:56 +0200,2019-03-10 18:08:49 +0200,2019-03-10 18:09:21 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e68fa0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:10:27 +0200,2019-03-10 18:09:22 +0200,2019-03-10 18:09:51 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69040>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:11:03 +0200,2019-03-10 18:09:56 +0200,2019-03-10 18:10:21 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e690e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:11:39 +0200,2019-03-10 18:10:27 +0200,2019-03-10 18:10:55 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69180>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:12:12 +0200,2019-03-10 18:11:05 +0200,2019-03-10 18:11:35 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69220>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:12:43 +0200,2019-03-10 18:11:35 +0200,2019-03-10 18:12:08 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e692c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:13:16 +0200,2019-03-10 18:12:11 +0200,2019-03-10 18:12:35 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69360>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:17:15 +0200,2019-03-10 18:12:39 +0200,2019-03-10 18:13:08 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69400>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:18:01 +0200,2019-03-10 18:16:43 +0200,2019-03-10 18:17:08 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e694a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:18:32 +0200,2019-03-10 18:17:29 +0200,2019-03-10 18:17:55 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69540>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:19:00 +0200,2019-03-10 18:18:00 +0200,2019-03-10 18:18:26 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e695e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:19:31 +0200,2019-03-10 18:18:28 +0200,2019-03-10 18:18:57 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69680>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:19:59 +0200,2019-03-10 18:18:58 +0200,2019-03-10 18:19:27 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69720>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:20:33 +0200,2019-03-10 18:19:27 +0200,2019-03-10 18:19:55 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e697c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:21:55 +0200,2019-03-10 18:19:58 +0200,2019-03-10 18:20:26 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69860>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:22:59 +0200,2019-03-10 18:21:13 +0200,2019-03-10 18:21:40 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69900>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:23:27 +0200,2019-03-10 18:22:24 +0200,2019-03-10 18:22:52 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e699a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:23:56 +0200,2019-03-10 18:22:55 +0200,2019-03-10 18:23:19 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69a40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:24:24 +0200,2019-03-10 18:23:23 +0200,2019-03-10 18:23:49 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69ae0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:24:52 +0200,2019-03-10 18:23:51 +0200,2019-03-10 18:24:18 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69b80>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:25:23 +0200,2019-03-10 18:24:21 +0200,2019-03-10 18:24:47 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69c20>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:25:54 +0200,2019-03-10 18:24:50 +0200,2019-03-10 18:25:16 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69cc0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:26:25 +0200,2019-03-10 18:25:19 +0200,2019-03-10 18:25:46 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69d60>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:26:55 +0200,2019-03-10 18:25:51 +0200,2019-03-10 18:26:19 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69e00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:27:26 +0200,2019-03-10 18:26:20 +0200,2019-03-10 18:26:51 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69ea0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:27:57 +0200,2019-03-10 18:26:52 +0200,2019-03-10 18:27:21 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69f40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:28:28 +0200,2019-03-10 18:27:26 +0200,2019-03-10 18:27:52 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e69fe0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:28:59 +0200,2019-03-10 18:27:52 +0200,2019-03-10 18:28:22 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a080>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:29:33 +0200,2019-03-10 18:28:22 +0200,2019-03-10 18:28:53 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a120>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:30:03 +0200,2019-03-10 18:28:54 +0200,2019-03-10 18:29:30 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a1c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:30:34 +0200,2019-03-10 18:29:33 +0200,2019-03-10 18:29:57 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a260>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:31:04 +0200,2019-03-10 18:29:57 +0200,2019-03-10 18:30:30 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a300>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:31:38 +0200,2019-03-10 18:30:33 +0200,2019-03-10 18:30:58 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a3a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:32:09 +0200,2019-03-10 18:31:04 +0200,2019-03-10 18:31:33 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a440>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:32:42 +0200,2019-03-10 18:31:33 +0200,2019-03-10 18:32:02 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a4e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:36:51 +0200,2019-03-10 18:32:04 +0200,2019-03-10 18:32:32 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a580>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:37:22 +0200,2019-03-10 18:36:21 +0200,2019-03-10 18:36:45 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a620>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:37:55 +0200,2019-03-10 18:36:48 +0200,2019-03-10 18:37:18 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a6c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:38:26 +0200,2019-03-10 18:37:19 +0200,2019-03-10 18:37:50 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a760>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:38:57 +0200,2019-03-10 18:37:50 +0200,2019-03-10 18:38:22 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a800>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:39:28 +0200,2019-03-10 18:38:22 +0200,2019-03-10 18:38:51 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a8a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:40:01 +0200,2019-03-10 18:38:54 +0200,2019-03-10 18:39:24 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a940>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:40:32 +0200,2019-03-10 18:39:26 +0200,2019-03-10 18:39:54 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6a9e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:41:41 +0200,2019-03-10 18:39:54 +0200,2019-03-10 18:40:26 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6aa80>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:42:09 +0200,2019-03-10 18:41:09 +0200,2019-03-10 18:41:33 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6ab20>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:42:38 +0200,2019-03-10 18:41:38 +0200,2019-03-10 18:42:04 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6abc0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:43:06 +0200,2019-03-10 18:42:05 +0200,2019-03-10 18:42:34 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6ac60>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:43:34 +0200,2019-03-10 18:42:35 +0200,2019-03-10 18:43:02 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6ad00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:44:02 +0200,2019-03-10 18:43:05 +0200,2019-03-10 18:43:29 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6ada0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:44:28 +0200,2019-03-10 18:43:31 +0200,2019-03-10 18:43:58 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6ae40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:45:27 +0200,2019-03-10 18:44:02 +0200,2019-03-10 18:44:24 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6aee0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:49:26 +0200,2019-03-10 18:44:28 +0200,2019-03-10 18:44:47 +0200,25
"Pedro’s Apple Watch","5.1.3","<<HKDevice: 0x283e6af80>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.1.3>","DistanceSwimming","m",2019-03-10 18:49:26 +0200,2019-03-10 18:48:25 +0200,2019-03-10 18:48:59 +0200,25
"Pedro’s Apple Watch","5.2","<<HKDevice: 0x283e6b020>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.2>","DistanceSwimming","m",2019-05-26 15:34:37 +0200,2019-05-26 15:31:19 +0200,2019-05-26 15:32:07 +0200,50
"Pedro’s Apple Watch","5.2","<<HKDevice: 0x283e6b0c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.2>","DistanceSwimming","m",2019-05-26 15:36:43 +0200,2019-05-26 15:33:05 +0200,2019-05-26 15:34:30 +0200,50
"Pedro’s Apple Watch","5.2","<<HKDevice: 0x283e6b160>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.2>","DistanceSwimming","m",2019-05-26 15:37:45 +0200,2019-05-26 15:35:38 +0200,2019-05-26 15:36:29 +0200,50
"Pedro’s Apple Watch","5.2","<<HKDevice: 0x283e6b200>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.2>","DistanceSwimming","m",2019-05-26 15:39:07 +0200,2019-05-26 15:36:49 +0200,2019-05-26 15:37:37 +0200,50
"Pedro’s Apple Watch","5.2","<<HKDevice: 0x283e6b2a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,2, software:5.2>","DistanceSwimming","m",2019-05-26 15:40:50 +0200,2019-05-26 15:37:39 +0200,2019-05-26 15:38:51 +0200,50
